region;west;east;south;north
1;-74.25559;-74.2444784;40.49612;40.5045082
2;-74.25559;-74.2444784;40.5045082;40.5128964
3;-74.25559;-74.2444784;40.5128964;40.5212846
4;-74.25559;-74.2444784;40.5212846;40.5296728
5;-74.25559;-74.2444784;40.5296728;40.538061
6;-74.25559;-74.2444784;40.538061;40.5464492
7;-74.25559;-74.2444784;40.5464492;40.5548374
8;-74.25559;-74.2444784;40.5548374;40.5632256
9;-74.25559;-74.2444784;40.5632256;40.5716138
10;-74.25559;-74.2444784;40.5716138;40.580002
11;-74.25559;-74.2444784;40.580002;40.5883902
12;-74.25559;-74.2444784;40.5883902;40.5967784
13;-74.25559;-74.2444784;40.5967784;40.6051666
14;-74.25559;-74.2444784;40.6051666;40.6135548
15;-74.25559;-74.2444784;40.6135548;40.621943
16;-74.25559;-74.2444784;40.621943;40.6303312
17;-74.25559;-74.2444784;40.6303312;40.6387194
18;-74.25559;-74.2444784;40.6387194;40.6471076
19;-74.25559;-74.2444784;40.6471076;40.6554958
20;-74.25559;-74.2444784;40.6554958;40.663884
21;-74.25559;-74.2444784;40.663884;40.6722722
22;-74.25559;-74.2444784;40.6722722;40.6806604
23;-74.25559;-74.2444784;40.6806604;40.6890486
24;-74.25559;-74.2444784;40.6890486;40.6974368
25;-74.25559;-74.2444784;40.6974368;40.705825
26;-74.25559;-74.2444784;40.705825;40.7142132
27;-74.25559;-74.2444784;40.7142132;40.7226014
28;-74.25559;-74.2444784;40.7226014;40.7309896
29;-74.25559;-74.2444784;40.7309896;40.7393778
30;-74.25559;-74.2444784;40.7393778;40.747766
31;-74.25559;-74.2444784;40.747766;40.7561542
32;-74.25559;-74.2444784;40.7561542;40.7645424
33;-74.25559;-74.2444784;40.7645424;40.7729306
34;-74.25559;-74.2444784;40.7729306;40.7813188
35;-74.25559;-74.2444784;40.7813188;40.789707
36;-74.25559;-74.2444784;40.789707;40.7980952
37;-74.25559;-74.2444784;40.7980952;40.8064834
38;-74.25559;-74.2444784;40.8064834;40.8148716
39;-74.25559;-74.2444784;40.8148716;40.8232598
40;-74.25559;-74.2444784;40.8232598;40.831648
41;-74.25559;-74.2444784;40.831648;40.8400362
42;-74.25559;-74.2444784;40.8400362;40.8484244
43;-74.25559;-74.2444784;40.8484244;40.8568126
44;-74.25559;-74.2444784;40.8568126;40.8652008
45;-74.25559;-74.2444784;40.8652008;40.873589
46;-74.25559;-74.2444784;40.873589;40.8819772
47;-74.25559;-74.2444784;40.8819772;40.8903654
48;-74.25559;-74.2444784;40.8903654;40.8987536
49;-74.25559;-74.2444784;40.8987536;40.9071418
50;-74.25559;-74.2444784;40.9071418;40.91553
51;-74.2444784;-74.2333668;40.49612;40.5045082
52;-74.2444784;-74.2333668;40.5045082;40.5128964
53;-74.2444784;-74.2333668;40.5128964;40.5212846
54;-74.2444784;-74.2333668;40.5212846;40.5296728
55;-74.2444784;-74.2333668;40.5296728;40.538061
56;-74.2444784;-74.2333668;40.538061;40.5464492
57;-74.2444784;-74.2333668;40.5464492;40.5548374
58;-74.2444784;-74.2333668;40.5548374;40.5632256
59;-74.2444784;-74.2333668;40.5632256;40.5716138
60;-74.2444784;-74.2333668;40.5716138;40.580002
61;-74.2444784;-74.2333668;40.580002;40.5883902
62;-74.2444784;-74.2333668;40.5883902;40.5967784
63;-74.2444784;-74.2333668;40.5967784;40.6051666
64;-74.2444784;-74.2333668;40.6051666;40.6135548
65;-74.2444784;-74.2333668;40.6135548;40.621943
66;-74.2444784;-74.2333668;40.621943;40.6303312
67;-74.2444784;-74.2333668;40.6303312;40.6387194
68;-74.2444784;-74.2333668;40.6387194;40.6471076
69;-74.2444784;-74.2333668;40.6471076;40.6554958
70;-74.2444784;-74.2333668;40.6554958;40.663884
71;-74.2444784;-74.2333668;40.663884;40.6722722
72;-74.2444784;-74.2333668;40.6722722;40.6806604
73;-74.2444784;-74.2333668;40.6806604;40.6890486
74;-74.2444784;-74.2333668;40.6890486;40.6974368
75;-74.2444784;-74.2333668;40.6974368;40.705825
76;-74.2444784;-74.2333668;40.705825;40.7142132
77;-74.2444784;-74.2333668;40.7142132;40.7226014
78;-74.2444784;-74.2333668;40.7226014;40.7309896
79;-74.2444784;-74.2333668;40.7309896;40.7393778
80;-74.2444784;-74.2333668;40.7393778;40.747766
81;-74.2444784;-74.2333668;40.747766;40.7561542
82;-74.2444784;-74.2333668;40.7561542;40.7645424
83;-74.2444784;-74.2333668;40.7645424;40.7729306
84;-74.2444784;-74.2333668;40.7729306;40.7813188
85;-74.2444784;-74.2333668;40.7813188;40.789707
86;-74.2444784;-74.2333668;40.789707;40.7980952
87;-74.2444784;-74.2333668;40.7980952;40.8064834
88;-74.2444784;-74.2333668;40.8064834;40.8148716
89;-74.2444784;-74.2333668;40.8148716;40.8232598
90;-74.2444784;-74.2333668;40.8232598;40.831648
91;-74.2444784;-74.2333668;40.831648;40.8400362
92;-74.2444784;-74.2333668;40.8400362;40.8484244
93;-74.2444784;-74.2333668;40.8484244;40.8568126
94;-74.2444784;-74.2333668;40.8568126;40.8652008
95;-74.2444784;-74.2333668;40.8652008;40.873589
96;-74.2444784;-74.2333668;40.873589;40.8819772
97;-74.2444784;-74.2333668;40.8819772;40.8903654
98;-74.2444784;-74.2333668;40.8903654;40.8987536
99;-74.2444784;-74.2333668;40.8987536;40.9071418
100;-74.2444784;-74.2333668;40.9071418;40.91553
101;-74.2333668;-74.2222552;40.49612;40.5045082
102;-74.2333668;-74.2222552;40.5045082;40.5128964
103;-74.2333668;-74.2222552;40.5128964;40.5212846
104;-74.2333668;-74.2222552;40.5212846;40.5296728
105;-74.2333668;-74.2222552;40.5296728;40.538061
106;-74.2333668;-74.2222552;40.538061;40.5464492
107;-74.2333668;-74.2222552;40.5464492;40.5548374
108;-74.2333668;-74.2222552;40.5548374;40.5632256
109;-74.2333668;-74.2222552;40.5632256;40.5716138
110;-74.2333668;-74.2222552;40.5716138;40.580002
111;-74.2333668;-74.2222552;40.580002;40.5883902
112;-74.2333668;-74.2222552;40.5883902;40.5967784
113;-74.2333668;-74.2222552;40.5967784;40.6051666
114;-74.2333668;-74.2222552;40.6051666;40.6135548
115;-74.2333668;-74.2222552;40.6135548;40.621943
116;-74.2333668;-74.2222552;40.621943;40.6303312
117;-74.2333668;-74.2222552;40.6303312;40.6387194
118;-74.2333668;-74.2222552;40.6387194;40.6471076
119;-74.2333668;-74.2222552;40.6471076;40.6554958
120;-74.2333668;-74.2222552;40.6554958;40.663884
121;-74.2333668;-74.2222552;40.663884;40.6722722
122;-74.2333668;-74.2222552;40.6722722;40.6806604
123;-74.2333668;-74.2222552;40.6806604;40.6890486
124;-74.2333668;-74.2222552;40.6890486;40.6974368
125;-74.2333668;-74.2222552;40.6974368;40.705825
126;-74.2333668;-74.2222552;40.705825;40.7142132
127;-74.2333668;-74.2222552;40.7142132;40.7226014
128;-74.2333668;-74.2222552;40.7226014;40.7309896
129;-74.2333668;-74.2222552;40.7309896;40.7393778
130;-74.2333668;-74.2222552;40.7393778;40.747766
131;-74.2333668;-74.2222552;40.747766;40.7561542
132;-74.2333668;-74.2222552;40.7561542;40.7645424
133;-74.2333668;-74.2222552;40.7645424;40.7729306
134;-74.2333668;-74.2222552;40.7729306;40.7813188
135;-74.2333668;-74.2222552;40.7813188;40.789707
136;-74.2333668;-74.2222552;40.789707;40.7980952
137;-74.2333668;-74.2222552;40.7980952;40.8064834
138;-74.2333668;-74.2222552;40.8064834;40.8148716
139;-74.2333668;-74.2222552;40.8148716;40.8232598
140;-74.2333668;-74.2222552;40.8232598;40.831648
141;-74.2333668;-74.2222552;40.831648;40.8400362
142;-74.2333668;-74.2222552;40.8400362;40.8484244
143;-74.2333668;-74.2222552;40.8484244;40.8568126
144;-74.2333668;-74.2222552;40.8568126;40.8652008
