session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,192,4,216,10,21,4,65,27,27,4,128
1,10,21,65,4,30,6,9,30,9,6,128
2,3,9,3,6,10,4,4,33,115,9,128
3,9,33,9,6,9,4,4,115,4,4,128
4,1446,41,41,82,82,3,33,1446,41,41,128
5,82,41,41,165,787,97,787,99,787,97,128
6,1395,187,99,44,95,41,44,159,215,9,128
7,44,115,21,9,3,65,155,10,2,27,128
8,787,97,100,100,250,233,79,100,79,233,128
9,233,233,233,100,100,233,100,79,79,79,128
10,100,100,79,227,100,100,79,100,44,787,128
11,787,79,79,100,79,79,100,79,79,79,128
12,100,233,79,79,233,100,79,4,27,4,128
13,21,10,233,79,100,215,99,41,787,227,128
14,1395,156,465,95,4,82,4,255,3,2,128
15,6,2,2,3,2,6,2,3,2,3,128
16,2,3,6,2,2,2119,383,146,101,84,128
17,383,2,10,21,4,65,27,4,27,65,128
18,21,10,4,30,6,9,9,3,6,9,128
19,10,6,3,4,9,4,6,33,115,33,128
20,4,6,33,4,4,4,4,9,9,9,128
21,9,123,9,123,4,4,123,6,9,3,128
22,10,21,65,115,4,27,10,21,2,6,128
23,3,3,6,2,6,2,6,6,6,10,128
24,10,2,6,3,3,6,2,2,6,6,128
25,22,10,6,6,10,6,6,2,2,2,128
26,17,5,6,216,4,10,21,4,65,27,128
27,27,4,9,65,21,10,6,30,30,9,128
28,3,33,9,6,10,115,3,33,9,4,128
29,4,9,9,1446,41,115,155,2,4,3,128
30,65,10,27,21,41,41,41,165,787,99,128
31,787,787,99,156,1395,97,187,787,82,44,128
32,250,41,95,156,82,159,787,44,215,787,128
33,250,97,4,21,10,27,1836,1493,1493,1493,128
34,3,227,44,44,44,41,787,1395,44,97,128
35,41,95,227,787,465,82,4,10,21,10,128
36,4,65,27,10,21,30,65,27,6,4,128
37,9,30,4,6,21,65,10,155,9,2,128
38,4,3,33,21,27,10,4,357,357,507,128
39,216,4,10,4,10,3,3,4,6,4,128
40,3,21,65,27,10,21,65,27,4,30,128
41,9,6,3,4,30,9,33,6,115,6,128
42,10,10,21,3,65,9,4,115,33,2,128
43,155,2,27,65,10,21,4,27,216,4,128
44,10,4,6,3,10,4,3,4,6,4,128
45,10,255,424,21,10,65,27,10,65,3,128
46,30,21,10,27,4,9,4,30,33,9,128
47,115,9,6,33,4,9,9,9,4,9,128
48,115,9,4,192,81,268,268,424,268,81,128
49,268,268,268,424,424,216,4,10,4,10,128
50,216,4,10,3,10,4,3,4,3,4,128
51,6,3,10,6,21,65,6,27,10,21,128
52,65,4,27,30,3,9,30,9,115,33,128
53,6,10,9,115,33,4,3,21,27,65,128
54,10,2,155,4,10,27,21,4,4,424,128
